artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
Brandy,What About Us?,253200,FALSE,2002,43,0.686,0.698,5
Chad Kroeger,Hero (feat. Josey Scott),200480,FALSE,2003,66,0.427,0.843,4
Britney Spears,Overprotected - Radio Edit,198600,FALSE,2001,61,0.682,0.894,0
Scooter,The Logical Song,234116,FALSE,2013,46,0.527,0.933,6
Missy Elliott,4 My People (feat. Eve),289373,TRUE,2001,49,0.969,0.701,1
Aaliyah,More Than A Woman,230346,FALSE,2002,42,0.646,0.638,11
Brandy,Full Moon,248933,FALSE,2002,52,0.611,0.654,10
Blue,One Love,207186,FALSE,2002,60,0.683,0.722,8
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,TRUE,2001,55,0.697,0.793,6
Céline Dion,A New Day Has Come - Radio Remix,259773,FALSE,2001,59,0.574,0.691,6
Scooter,Nessaja,208449,FALSE,2013,47,0.486,0.904,2
Eve,Gangsta Lovin',239266,TRUE,2002,58,0.723,0.84,1
Disturbing Tha Peace,Move Bitch,272293,TRUE,2002,59,0.777,0.751,1
Khia,"My Neck, My Back (Lick It)",222560,TRUE,2015,59,0.859,0.625,9
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,TRUE,2002,64,0.66,0.536,10
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,0.761,0.662,6
Nelly,Hot In Herre,228240,TRUE,2002,75,0.956,0.745,11
Gareth Gates,Anyone of Us (Stupid Mistake),227866,FALSE,2003,53,0.7,0.72,1
Christina Aguilera,Dirrty (feat. Redman),298853,FALSE,2002,68,0.64,0.889,2
B2K,Uh Huh,223293,FALSE,2002,49,0.855,0.681,2
Sugababes,Freak Like Me,195866,FALSE,2002,45,0.517,0.919,5
Dirty Vegas,Days Go By,432146,FALSE,2002,48,0.786,0.853,9
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,TRUE,2001,73,0.835,0.707,8
Liberty X,Just A Little,237359,FALSE,2019,43,0.786,0.614,5
No Doubt,Hella Good,242586,FALSE,2001,26,0.771,0.665,8
LL Cool J,Luv U Better,287000,FALSE,2002,2,0.668,0.806,6
Red Hot Chili Peppers,Can't Stop,269000,FALSE,2002,80,0.618,0.938,9
Musiq Soulchild,Halfcrazy,254493,FALSE,2002,58,0.412,0.77,11
Sean Paul,Gimme the Light,228000,TRUE,2002,59,0.778,0.761,2
Faith Evans,I Love You,267160,FALSE,2001,53,0.489,0.757,11
Charli Baltimore,Down 4 U,318213,TRUE,2002,47,0.64,0.59,7
Kylie Minogue,Love at First Sight,238266,FALSE,2001,55,0.603,0.774,3
N.O.R.E.,Nothin',264653,TRUE,2002,58,0.791,0.863,3
Gareth Gates,Unchained Melody,233666,FALSE,2003,35,0.368,0.426,10
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSE,2005,63,0.66,0.707,6
Big Brovaz,Nu Flow,201480,FALSE,2001,45,0.783,0.726,7
No Doubt,Hey Baby,207040,FALSE,2001,24,0.705,0.872,11
Ashanti,Baby,265706,TRUE,2002,55,0.567,0.58,4
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,FALSE,2002,62,0.734,0.848,1
Justin Timberlake,Like I Love You,283626,FALSE,2002,62,0.853,0.811,6
Mary J. Blige,Rainy Dayz,276373,FALSE,2001,32,0.412,0.667,6
A1,Caught in the Middle,206466,FALSE,2001,53,0.519,0.874,5
Eminem,Cleanin' Out My Closet,297840,TRUE,2002,71,0.908,0.758,9
Ashanti,Happy,262226,TRUE,2002,61,0.727,0.515,2
Delta Goodrem,Born to Try,251280,FALSE,2003,54,0.542,0.589,8
P!nk,Get the Party Started,192533,FALSE,2001,68,0.802,0.903,11
Alicia Keys,A Woman's Worth,303333,FALSE,2001,52,0.652,0.41,4
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,FALSE,2002,56,0.838,0.764,7
Coldplay,Clocks,307879,FALSE,2002,79,0.577,0.749,5
Missy Elliott,Work It,263226,TRUE,2002,70,0.884,0.677,1
Ronan Keating,If Tomorrow Never Comes,214306,FALSE,2002,60,0.555,0.496,10
Big Tymers,Still Fly,335613,TRUE,2002,64,0.675,0.607,11
Creed,My Sacrifice,294600,FALSE,2001,69,0.32,0.88,2
Ja Rule,Always On Time,245133,TRUE,2001,73,0.839,0.706,5
Ashanti,Foolish,227386,TRUE,2002,70,0.665,0.695,0
Avril Lavigne,Sk8er Boi,204000,FALSE,2002,75,0.487,0.9,0
DJ Sammy,Heaven,233600,FALSE,2002,63,0.571,0.953,8
